"fw","neg","pos","p","source","chargeDensity","phii","U:0","U:1","U:2","force:0","force:1","force:2","elec:0","elec:1","elec:2","Points:0","Points:1","Points:2"
4.31451,0.000206633,0.000975328,-2.30617e-05,0.00132544,0.000768695,49.6813,-0.00124814,0.000192378,0,-0.000403948,-0.0498682,0,-779.622,-94498.1,0,0.005,0.0005,0.00125
4.32756,0.000206552,0.0009762,-2.3027e-05,0.00133062,0.000769648,49.8786,-0.00129989,0.000190445,0,-0.000413725,-0.0501361,0,-797.508,-94888.8,0,0.00525,0.0005,0.00125
4.3409,0.000206478,0.000977052,-2.29795e-05,0.00133592,0.000770574,50.0801,-0.001348,0.000187904,0,-0.000422204,-0.0504073,0,-812.885,-95288,0,0.0055,0.0005,0.00125
4.35451,0.000206413,0.000977882,-2.29179e-05,0.00134131,0.00077147,50.285,-0.00139196,0.000184733,0,-0.000429312,-0.0506809,0,-825.62,-95694.5,0,0.00575,0.0005,0.00125
4.36833,0.000206356,0.000978689,-2.28413e-05,0.00134679,0.000772333,50.4929,-0.0014313,0.000180933,0,-0.000434971,-0.050956,0,-835.579,-96107,0,0.006,0.0005,0.00125
4.38231,0.000206307,0.000979469,-2.27488e-05,0.00135233,0.000773161,50.7028,-0.00146552,0.000176519,0,-0.000439105,-0.0512317,0,-842.63,-96524,0,0.00625,0.0005,0.00125
4.3964,0.000206268,0.000980219,-2.26398e-05,0.00135792,0.000773952,50.9142,-0.00149419,0.00017152,0,-0.000441642,-0.0515069,0,-846.652,-96944,0,0.0065,0.0005,0.00125
4.41056,0.000206237,0.000980936,-2.25139e-05,0.00136352,0.000774699,51.1261,-0.00151689,0.000165971,0,-0.00044252,-0.0517806,0,-847.533,-97365.6,0,0.00675,0.0005,0.00125
4.42473,0.000206216,0.000981616,-2.23708e-05,0.00136913,0.0007754,51.3379,-0.00153324,0.000159899,0,-0.00044169,-0.0520515,0,-845.198,-97787.2,0,0.007,0.0005,0.00125
4.43887,0.000206214,0.000982256,-2.22103e-05,0.0013747,0.000776042,51.5488,-0.00154287,0.000153306,0,-0.000439122,-0.0523181,0,-839.613,-98207.1,0,0.00725,0.0005,0.00125
